construct_id,pattern,role,proposed_action,v1_source_stable_id,v1_source_text,v2_question_text,angle,lens,is_negative,is_anchor,response_scale,equivalence_note,reviewer_notes,keep
C-CONSISTENCY-02,consistency,leader,preserved,Q-CONSISTENCY-002,"I follow through on commitments, even when priorities compete.","I follow through on commitments, even when priorities compete.",intention,behavioral_alignment,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-CONSISTENCY-02,consistency,team_member,preserved,Q-CONSISTENCY-007,Leadership standards are applied consistently across people and situations.,"Leadership follows through on commitments, even when priorities compete.",experience,behavioral_alignment,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-CONSISTENCY-03,consistency,leader,preserved,Q-CONSISTENCY-003,My standards change depending on the circumstance or who is involved.,My standards change depending on the circumstance or who is involved.,gap,behavioral_alignment,true,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-CONSISTENCY-03,consistency,team_member,preserved,Q-CONSISTENCY-008,"The way issues are handled depends on timing, mood, or who is involved.",Leadership standards change depending on the circumstance or who is involved.,observational,trust_density,true,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-CONSISTENCY-04,consistency,leader,preserved,Q-CONSISTENCY-004,I apply consequences and recognition using the same standards across the team.,I apply consequences and recognition using the same standards across the team.,intention,trust_density,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-CONSISTENCY-04,consistency,team_member,preserved,Q-CONSISTENCY-009,Decisions tend to follow a predictable pattern over time.,Consequences and recognition are applied using the same standards across the team.,observational,communication_clarity,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-CONSISTENCY-05,consistency,leader,preserved,Q-CONSISTENCY-005,I make decisions using a process others can predict and understand.,I make decisions using a process others can predict and understand.,observational,communication_clarity,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-CONSISTENCY-05,consistency,team_member,preserved,Q-CONSISTENCY-010,I adjust how I communicate because I’m unsure how leadership will take it.,Leadership decisions follow a process I can predict and understand.,experience,trust_density,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-TRUST-01,trust,leader,preserved,Q-TRUST-001,I invite honest feedback and respond in a way that makes it easier to speak up next time.,I take concerns seriously when they are raised.,intention,trust_density,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-TRUST-01,trust,team_member,preserved,Q-TRUST-006,Concerns are taken seriously when they are raised.,Concerns are taken seriously when they are raised.,experience,trust_density,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-TRUST-02,trust,leader,preserved,Q-TRUST-003,"When someone brings a concern, I focus on understanding before defending a position.","When someone brings a concern, I focus on understanding before defending a position.",observational,trust_density,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-TRUST-02,trust,team_member,preserved,Q-TRUST-008,I can disagree with leadership without it affecting how I’m treated later.,I can disagree with leadership without it affecting how I’m treated later.,experience,trust_density,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-TRUST-03,trust,leader,preserved,Q-TRUST-004,I avoid certain topics because they tend to create personal fallout.,I avoid certain topics because they tend to create personal fallout.,gap,trust_density,true,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-TRUST-03,trust,team_member,preserved,Q-TRUST-007,People hold back information because they are unsure how it will be received.,People hold back information because they are unsure how it will be received.,observational,trust_density,true,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-TRUST-04,trust,leader,preserved,Q-TRUST-005,I handle mistakes in a way that supports learning rather than fear.,I handle mistakes in a way that supports learning rather than fear.,intention,behavioral_alignment,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-TRUST-04,trust,team_member,preserved,Q-TRUST-009,Issues tend to surface later than they should because people wait to see what happens.,Mistakes are handled in a way that supports learning rather than fear.,experience,communication_clarity,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-COMMUNICATION-01,communication,leader,preserved,Q-COMMUNICATION-001,I share decisions with enough context that people can act confidently.,I share decisions with enough context and timing for people to act confidently.,intention,communication_clarity,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-COMMUNICATION-01,communication,team_member,preserved,Q-COMMUNICATION-006,I receive the information I need in time to do my job well.,I receive decisions with enough context and timing to act confidently.,experience,communication_clarity,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-COMMUNICATION-02,communication,leader,preserved,Q-COMMUNICATION-002,I ensure important information reaches the right people before it becomes a problem.,I ensure important information reaches the right people before it becomes a problem.,observational,communication_clarity,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-COMMUNICATION-02,communication,team_member,preserved,Q-COMMUNICATION-008,Decisions are communicated in a way that reduces confusion.,Important information reaches the right people before it becomes a problem.,experience,communication_clarity,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-COMMUNICATION-03,communication,leader,preserved,Q-COMMUNICATION-003,Important details get delayed because I assume someone else will communicate them.,Important details get delayed because I assume someone else will communicate them.,gap,communication_clarity,true,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-COMMUNICATION-03,communication,team_member,preserved,Q-COMMUNICATION-007,I often have to rely on unofficial channels to understand what is happening.,I often have to rely on unofficial channels to understand what is happening.,experience,communication_clarity,true,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-COMMUNICATION-04,communication,leader,preserved,Q-COMMUNICATION-004,I provide a clear source of truth when there is confusion or conflicting messages.,I provide a clear source of truth when there is confusion or conflicting messages.,intention,communication_clarity,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-COMMUNICATION-04,communication,team_member,preserved,Q-COMMUNICATION-010,"When something changes, I can find accurate details quickly.","When messages conflict, I know where to find the accurate source of truth.",experience,communication_clarity,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-COMMUNICATION-05,communication,leader,preserved,Q-COMMUNICATION-005,I notice when messages are being interpreted differently and I correct it quickly.,I clarify what has been decided versus what is still being discussed.,observational,trust_density,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-COMMUNICATION-05,communication,team_member,preserved,Q-COMMUNICATION-009,It is unclear what has actually been decided versus what is still being discussed.,I understand what has been decided versus what is still being discussed.,experience,communication_clarity,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-ALIGNMENT-01,alignment,leader,preserved,Q-ALIGNMENT-001,I reinforce the behaviors that match what we say matters most.,I reinforce the behaviors that match what we say matters most.,intention,behavioral_alignment,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-ALIGNMENT-01,alignment,team_member,preserved,Q-ALIGNMENT-006,Team behavior generally matches what leadership says is important.,Team behavior generally matches what leadership says is important.,experience,behavioral_alignment,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-ALIGNMENT-02,alignment,leader,preserved,Q-ALIGNMENT-002,I model the standards I expect others to follow.,I allow behaviors that conflict with stated priorities to be rewarded.,gap,behavioral_alignment,true,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-ALIGNMENT-02,alignment,team_member,preserved,Q-ALIGNMENT-007,I see people rewarded for behaviors that conflict with stated priorities.,I see people rewarded for behaviors that conflict with stated priorities.,observational,behavioral_alignment,true,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-ALIGNMENT-03,alignment,leader,preserved,Q-ALIGNMENT-003,I tolerate behaviors that conflict with stated priorities because it is easier in the moment.,I tolerate behaviors that conflict with stated priorities because it is easier in the moment.,gap,behavioral_alignment,true,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-ALIGNMENT-03,alignment,team_member,preserved,Q-ALIGNMENT-008,Success is defined consistently across the organization.,I see behaviors that conflict with stated priorities go uncorrected.,experience,communication_clarity,true,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-ALIGNMENT-04,alignment,leader,preserved,Q-ALIGNMENT-004,"When priorities compete, I make the tradeoff explicit and reinforce it in decisions.","When priorities compete, I clarify the tradeoff so people know how to act.",intention,communication_clarity,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-ALIGNMENT-04,alignment,team_member,preserved,Q-ALIGNMENT-010,"When priorities compete, tradeoffs are clarified enough for me to act appropriately.","When priorities compete, tradeoffs are clarified enough for me to know how to act.",experience,communication_clarity,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-ALIGNMENT-05,alignment,leader,preserved,Q-ALIGNMENT-005,I correct misalignment early before it becomes a cultural norm.,I correct misalignment early before it becomes a cultural norm.,intention,trust_density,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-ALIGNMENT-05,alignment,team_member,preserved,Q-ALIGNMENT-009,Different parts of the organization seem to be working toward different priorities.,Misalignment is addressed before it becomes normal across the organization.,observational,communication_clarity,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-STABILITY-01,stability,leader,preserved,Q-STABILITY-001,I manage pressure in a way that keeps the environment steady and workable.,I manage pressure in a way that keeps the environment steady and workable.,intention,trust_density,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-STABILITY-01,stability,team_member,preserved,Q-STABILITY-006,The environment feels stable enough for me to focus on my work.,The environment feels stable enough for me to focus on my work.,experience,trust_density,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-STABILITY-02,stability,leader,preserved,Q-STABILITY-002,"When something goes wrong, I respond calmly enough that the team can focus on solutions.","When something goes wrong, I respond calmly enough that the team can focus on solutions.",observational,trust_density,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-STABILITY-02,stability,team_member,preserved,Q-STABILITY-007,Small issues tend to feel heavier than they should in this environment.,"When something goes wrong, leadership responds calmly enough for the team to focus on solutions.",experience,trust_density,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-STABILITY-03,stability,leader,preserved,Q-STABILITY-004,I unintentionally create urgency that makes routine work feel chaotic.,I unintentionally create urgency that makes routine work feel chaotic.,gap,behavioral_alignment,true,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-STABILITY-03,stability,team_member,preserved,Q-STABILITY-008,Changes are introduced with enough lead time to adjust well.,Routine work feels more chaotic than it needs to because of unnecessary urgency.,experience,communication_clarity,true,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-STABILITY-04,stability,leader,preserved,Q-STABILITY-005,I introduce changes in a way that minimizes unnecessary disruption.,I introduce changes in a way that minimizes unnecessary disruption.,intention,communication_clarity,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-STABILITY-04,stability,team_member,preserved,Q-STABILITY-010,"When pressure increases, communication stays clear enough to avoid unnecessary friction.",Changes are introduced in a way that minimizes unnecessary disruption.,experience,communication_clarity,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-LEADERSHIP-DRIFT-01,leadership_drift,leader,preserved,Q-LEADERSHIP_DRIFT-001,I pay attention to small behavior changes in myself because they shape culture over time.,I pay attention to small behavior changes in myself before they shape the culture in unhealthy ways.,intention,behavioral_alignment,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-LEADERSHIP-DRIFT-01,leadership_drift,team_member,preserved,Q-LEADERSHIP_DRIFT-007,Small changes in leadership behavior seem to be having larger effects over time.,I notice small changes in leadership behavior before they grow into larger culture issues.,observational,behavioral_alignment,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-LEADERSHIP-DRIFT-02,leadership_drift,leader,preserved,Q-LEADERSHIP_DRIFT-002,I notice early warning signs before they become recurring problems.,I notice early warning signs before they become recurring problems.,observational,behavioral_alignment,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-LEADERSHIP-DRIFT-02,leadership_drift,team_member,preserved,Q-LEADERSHIP_DRIFT-006,Leadership behavior feels consistent with how it was in earlier seasons.,Early warning signs are noticed before they become recurring problems.,experience,trust_density,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-LEADERSHIP-DRIFT-03,leadership_drift,leader,preserved,Q-LEADERSHIP_DRIFT-003,I have become more reactive lately than I was in earlier seasons.,I have become more reactive lately than I was in earlier seasons.,gap,trust_density,true,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-LEADERSHIP-DRIFT-03,leadership_drift,team_member,preserved,Q-LEADERSHIP_DRIFT-008,It takes longer to resolve issues now than it used to.,Leadership feels more reactive lately than it did in earlier seasons.,experience,communication_clarity,true,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-LEADERSHIP-DRIFT-04,leadership_drift,leader,preserved,Q-LEADERSHIP_DRIFT-004,I address small misalignments early instead of waiting for a bigger incident.,I address small misalignments early instead of waiting for a bigger incident.,intention,behavioral_alignment,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-LEADERSHIP-DRIFT-04,leadership_drift,team_member,preserved,Q-LEADERSHIP_DRIFT-009,"Communication has become less clear over time, even when the goals are similar.","Small misalignments are addressed early instead of waiting for a bigger incident.",experience,communication_clarity,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-LEADERSHIP-DRIFT-05,leadership_drift,leader,preserved,Q-LEADERSHIP_DRIFT-005,I follow the same leadership habits now as I did when things were going well.,I follow the same leadership habits now as I did when things were going well.,observational,behavioral_alignment,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-LEADERSHIP-DRIFT-05,leadership_drift,team_member,preserved,Q-LEADERSHIP_DRIFT-010,Concerns are addressed earlier now than they were in the past.,Leadership follows the same habits now as when things were going well.,experience,trust_density,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
,clarity,leader,retire,Q-CLARITY-001,I communicate the top priorities clearly enough that people can act without guessing.,,intention,communication_clarity,false,true,1_5_likert,,Unpaired in v1.x; reviewer to assign construct or confirm retire.,no
,clarity,team_member,retire,Q-CLARITY-010,I spend time moving forward without being sure what the priority actually is.,,experience,trust_density,true,false,1_5_likert,,Unpaired in v1.x; reviewer to assign construct or confirm retire.,no
,stability,leader,retire,Q-STABILITY-003,The day-to-day environment feels steady and predictable.,,experience,trust_density,false,true,1_5_likert,,Unpaired in v1.x; reviewer to assign construct or confirm retire.,no
,stability,team_member,retire,Q-STABILITY-009,The tone of the environment shifts quickly in ways that make it hard to predict what comes next.,,observational,trust_density,true,false,1_5_likert,,Unpaired in v1.x; reviewer to assign construct or confirm retire.,no
,trust,leader,retire,Q-TRUST-010,I encourage people to raise concerns early without fear of being blamed or labeled.,,intention,trust_density,false,false,1_5_likert,,Unpaired in v1.x; reviewer to assign construct or confirm retire.,no
,trust,team_member,retire,Q-TRUST-002,I can speak honestly about issues that matter without worrying about negative consequences.,,experience,trust_density,false,true,1_5_likert,,Unpaired in v1.x; reviewer to assign construct or confirm retire.,no
